"","Year","Season","n","mean_Prop_Diff","sd_Prop_Diff","mean_Perc_Diff","sd_Perc_Diff"
"1","2011","Summer",1,-0.0093098233426953,NA,-0.93098233426953,NA
"2","2019","Summer",1,-0.00397874006564575,NA,-0.397874006564575,NA
