"","Year","Season","n","mean_Prop_Diff","sd_Prop_Diff","mean_Perc_Diff","sd_Perc_Diff"
"1","2002","Summer",1,-0.000575697706367875,NA,-0.0575697706367875,NA
"2","2003","Summer",1,-0.00108707515662188,NA,-0.108707515662188,NA
"3","2007","Summer",1,-0.000475953435161034,NA,-0.0475953435161034,NA
"4","2008","Summer",1,-0.000766867824230504,NA,-0.0766867824230504,NA
"5","2010","Summer",1,-0.000752540367483304,NA,-0.0752540367483304,NA
"6","2011","Summer",1,-0.000322163545888619,NA,-0.0322163545888619,NA
"7","2013","Summer",2,-0.000396849059833584,3.09770790041859e-05,-0.0396849059833584,0.00309770790041859
"8","2014","Summer",1,-0.00079890336325216,NA,-0.079890336325216,NA
"9","2017","Summer",1,-0.000479737627130432,NA,-0.0479737627130431,NA
