Date,ResidenceTime_Days
2014-11-01,71.49399396
2014-12-01,107.7765966
2015-01-01,76.67218689
2015-02-01,76.71307507
2015-03-01,57.84625558
2015-04-01,49.81851231
2015-05-01,63.16939327
2015-06-01,64.51492161
2015-07-01,70.6856776
2015-08-01,68.02831805
2015-09-01,65.5604623
2015-10-01,75.15981884
2015-11-01,75.06855986
2015-12-01,90.82079747
2016-01-01,94.1891448
2016-02-01,72.24525512
2016-03-01,56.75572951
2016-04-01,53.03884095
2016-05-01,59.42940568
2016-06-01,61.7883446
2016-07-01,66.94005104
2016-08-01,74.16993502
2016-09-01,70.94895194
2016-10-01,76.16206839
2016-11-01,80.21310811
2016-12-01,110.4199022
2017-01-01,132.8032442
2017-02-01,100.8370013
2017-03-01,63.65026303
2017-04-01,54.21199058
2017-05-01,64.31566418
2017-06-01,60.01744566
2017-07-01,65.5826771
2017-08-01,76.2342016
2017-09-01,77.37592411
2017-10-01,72.10236721
2017-11-01,79.82770064
2017-12-01,91.68206907
2018-01-01,128.5830952
2018-02-01,77.63051359
2018-03-01,64.48897682
2018-04-01,50.88750487
2018-05-01,52.44466742
2018-06-01,56.67582851
2018-07-01,64.4862923
2018-08-01,71.5847804
2018-09-01,59.94359561
2018-10-01,75.19290531
2018-11-01,77.27810041
2018-12-01,133.3685928
2019-01-01,130.8198685
2019-02-01,85.90969407
2019-03-01,72.41681758
2019-04-01,57.7263574
2019-05-01,56.11382855
2019-06-01,58.30485489
2019-07-01,58.70287397
2019-08-01,65.74674425
2019-09-01,64.24959551
2019-10-01,83.18611153
2019-11-01,111.6417168
2019-12-01,222.2763084
2020-01-01,141.8366913
2020-02-01,96.82074975
2020-03-01,126.2961125
2020-04-01,61.86718588
2020-05-01,51.31779086
2020-06-01,55.00694462
2020-07-01,59.71246934
2020-08-01,66.38928606
2020-09-01,64.73755377
2020-10-01,64.86550901
2020-11-01,85.42449692
2020-12-01,99.47153973
