Month,ResidenceTime_days
2011-02-01,188.15
2011-03-01,124.20
2011-05-01,27.37
2011-06-01,47.01
2011-07-01,35.08
2011-08-01,131.54
2011-09-01,161.28
2012-02-01,208.87
2012-03-01,209.87
2012-04-01,635.24
2012-05-01,655.01
2012-06-01,410.81
2012-07-01,124.41
2012-08-01,117.91
2012-09-01,196.44
2012-10-01,161.48
2012-11-01,230.02
2012-12-01,223.43
2013-01-01,186.97
2013-02-01,204.75
2013-03-01,238.96
2013-04-01,410.25
2013-05-01,584.61
2013-06-01,861.19
2013-07-01,423.18
2013-08-01,105.62
2013-09-01,217.20
2013-10-01,141.94
2013-11-01,142.89
2013-12-01,183.64
2014-01-01,136.53
2014-02-01,105.41
2014-03-01,57.74
2014-04-01,46.98
2014-05-01,34.42
2014-06-01,58.12
2014-07-01,65.89
2014-08-01,137.28
2014-09-01,87.43
2014-10-01,78.39
2014-11-01,153.54
2014-12-01,147.60
2015-01-01,141.97
2015-02-01,105.48
2015-03-01,129.21
2015-04-01,131.03
2015-05-01,127.07
2015-06-01,42.05
2015-07-01,81.02
2015-08-01,143.23
2015-09-01,81.99
2015-10-01,67.30
2015-11-01,143.19
2015-12-01,166.59
2016-01-01,175.01
2016-02-01,169.21
2016-03-01,125.48
2016-04-01,176.72
2016-05-01,148.46
2016-06-01,58.72
2016-07-01,145.19
2016-08-01,158.67
2016-09-01,88.45
2016-10-01,72.49
2016-11-01,165.63
2016-12-01,183.64
2017-01-01,141.71
2017-02-01,165.23
2017-03-01,144.17
2017-04-01,153.47
2017-05-01,133.20
2017-06-01,79.04
2017-07-01,111.26
2017-08-01,135.78
2017-09-01,78.81
2017-10-01,76.77
2017-11-01,134.71
2017-12-01,189.62
2018-01-01,168.67
2018-02-01,167.93
2018-03-01,149.23
2018-04-01,116.50
2018-05-01,270.11
2018-06-01,862.98
2018-07-01,154.10
2018-08-01,70.02
2018-09-01,97.29
2018-10-01,160.84
2018-11-01,162.06
2018-12-01,173.88
2019-01-01,172.05
2019-02-01,176.41
2019-03-01,134.83
2019-04-01,127.62
2019-05-01,153.45
2019-06-01,58.52
2019-07-01,45.84
2019-08-01,121.50
2019-09-01,89.04
2019-10-01,64.44
2019-11-01,143.04
2019-12-01,176.36
2020-01-01,204.96
2020-02-01,198.45
2020-03-01,188.80
2020-04-01,124.52
2020-05-01,141.64
2020-06-01,418.32
2020-07-01,179.70
2020-08-01,91.23
2020-09-01,97.46
2020-10-01,105.49
2020-11-01,218.23
2020-12-01,303.16
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
