Month,ResidenceTime_days
2017-10-01,199.6843227
2017-11-01,497.1041327
2017-12-01,899.0576754
2018-01-01,1027.215472
2018-02-01,1234.094909
2018-03-01,281.204879
2018-04-01,176.3393589
2018-05-01,147.6002123
2018-06-01,129.6794168
2018-07-01,184.7757302
2018-08-01,373.2936332
2018-09-01,283.2418435
2018-10-01,467.1178501
