Date,ResidenceTime_Days
2014-12-01,678.1024277
2015-01-01,427.3596353
2015-02-01,512.041982
2015-03-01,323.8590075
2015-04-01,289.7502665
2015-05-01,371.2201706
2015-06-01,348.753954
2015-07-01,438.840043
2015-08-01,399.7715443
2015-09-01,432.7949524
2015-10-01,573.9344245
2015-11-01,487.4358567
2015-12-01,540.588465
2016-01-01,495.1711475
2016-02-01,442.3611287
2016-03-01,326.862625
2016-04-01,285.140127
2016-05-01,345.8581614
2016-06-01,311.6704014
2016-07-01,381.4284291
2016-08-01,433.0483552
2016-09-01,435.2895838
2016-10-01,610.1671935
2016-11-01,406.4599598
2016-12-01,586.1499274
2017-01-01,704.0387472
2017-02-01,630.965427
2017-03-01,376.7490755
2017-04-01,339.8400877
2017-05-01,361.465771
2017-06-01,357.4960292
2017-07-01,358.4705235
2017-08-01,477.3079081
2017-09-01,531.7462873
2017-10-01,555.8980776
2017-11-01,420.6760896
2017-12-01,541.0622481
2018-01-01,749.3427607
2018-02-01,440.2203545
2018-03-01,404.2847129
2018-04-01,315.9300699
2018-05-01,305.0296286
2018-06-01,309.4399928
2018-07-01,380.214897
2018-08-01,414.2353611
2018-09-01,418.993155
2018-10-01,607.3480221
2018-11-01,440.0416458
2018-12-01,679.147659
2019-01-01,679.500668
2019-02-01,522.0133733
2019-03-01,459.2299633
2019-04-01,364.3766253
2019-05-01,338.4975957
2019-06-01,352.2210542
2019-07-01,343.9641662
2019-08-01,402.2691436
2019-09-01,449.3869619
2019-10-01,540.4984808
2019-11-01,540.4968573
2019-12-01,1668.730107
2020-01-01,872.5367864
2020-02-01,599.7885032
2020-03-01,832.8854544
2020-04-01,422.949442
2020-05-01,333.501799
2020-06-01,337.4813727
2020-07-01,363.332933
2020-08-01,387.0416588
2020-09-01,494.2420984
2020-10-01,454.4952465
2020-11-01,433.5814426
2020-12-01,668.5954097
