Start Date, End Date, Duration, Start Elevation, Min Elevation, Percent Difference, Rate of Change, Drawdown
4/1/16,5/3/16,34,4883.76,4878.49,-0.0010790866054024842,-0.1756666666666812,-5.270000000000437
5/17/16,5/28/16,13,4878.64,4877.11,-0.00031361199022691874,-0.17000000000007276,-1.5300000000006548
6/23/16,7/1/16,10,4879.52,4878.71,-0.000165999934419861,-0.1350000000000667,-0.8100000000004002
7/12/16,11/11/16,124,4878.23,4864.57,-0.002800195972719584,-0.11478991596638533,-13.659999999999854
3/29/17,5/4/17,38,4882.94,4877.52,-0.0011099870160188664,-0.16424242424239888,-5.419999999999163
5/11/17,5/19/17,10,4880.25,4879.54,-0.0001454843501869856,-0.3550000000000182,-0.7100000000000364
6/20/17,6/28/17,10,4880.18,4879.71,-9.630792306846358e-05,-0.11750000000006366,-0.47000000000025466
8/27/17,10/3/17,39,4878.31,4870.3,-0.001641962072931039,-0.2288571428571491,-8.010000000000218
3/27/18,5/2/18,38,4884.65,4877.71,-0.0014207773330739359,-0.20411764705881175,-6.9399999999996
6/14/18,7/26/18,44,4877.31,4871.86,-0.0011174192331430085,-0.1397435897436084,-5.450000000000728
9/10/18,10/12/18,34,4869.26,4865.56,-0.0007598690560782989,-0.12333333333332727,-3.699999999999818
7/3/19,7/11/19,10,4880.07,4879.37,-0.00014344056540168852,-0.13999999999996363,-0.6999999999998181
8/14/19,10/24/19,73,4878.58,4866.32,-0.0025130263314325518,-0.17514285714286026,-12.260000000000218
3/2/20,3/10/20,10,4887.36,4885.02,-0.000478786093105324,-2.339999999999236,-2.339999999999236
3/29/20,5/13/20,47,4884.34,4875.93,-0.0017218293566786617,-0.19558139534883381,-8.409999999999854
6/3/20,8/5/20,65,4878.7,4868.52,-0.002086621436038162,-0.1668852459016292,-10.179999999999382
8/21/20,9/3/20,15,4867.78,4859.36,-0.0017297412783651013,-0.8420000000000073,-8.420000000000073
