Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change
4/28/16,5/4/16,7,9972.0,9971.8,-2.0056157240345726e-05,-0.0333333333334546
5/15/16,5/20/16,6,9972.8,9971.8,-0.00010027274185785336,-0.2
5/23/16,5/28/16,6,9972.8,9971.8,-0.00010027274185785336,-0.2
6/22/16,8/4/16,44,9997.8,9986.8,-0.0011002420532517155,-0.2558139534883721
8/8/16,8/24/16,17,9987.0,9985.4,-0.000160208270752014,-0.10000000000002274
8/28/16,9/10/16,14,9985.4,9983.6,-0.00018026318424893068,-0.1384615384614825
9/11/16,10/26/16,46,9983.6,9977.2,-0.000641051324171605,-0.14222222222221415
10/31/16,12/13/16,44,9977.2,9974.2,-0.0003006855630838311,-0.06976744186046512
1/29/17,2/7/17,10,9975.0,9974.8,-2.005012531335615e-05,-0.022222222222303065
3/25/17,4/4/17,11,9976.6,9974.2,-0.0002405629172262731,-0.23999999999996363
5/15/17,5/19/17,5,9980.2,9980.0,-2.0039678563628744e-05,-0.0500000000001819
6/26/17,7/28/17,33,10012.0,10003.4,-0.0008589692369157375,-0.26875000000001137
8/7/17,8/12/17,6,10004.0,10003.8,-1.999200319879324e-05,-0.040000000000145516
8/15/17,9/22/17,39,10004.0,9992.8,-0.0011195521791284213,-0.2947368421052823
9/24/17,9/29/17,5,9993.0,9992.2,-8.005603922738642e-05,-0.1999999999998181
10/17/17,12/18/17,63,9994.2,9988.6,-0.0005603249884933625,-0.09032258064516716
12/28/17,1/6/18,10,9988.6,9988.4,-2.002282602173754e-05,-0.022222222222303065
4/12/18,4/16/18,5,9990.4,9990.0,-4.0038436899387035e-05,-0.09999999999990905
4/28/18,5/6/18,9,9990.6,9990.0,-6.005645306591834e-05,-0.07500000000004547
5/27/18,6/3/18,8,9991.2,9990.4,-8.007046200667501e-05,-0.1142857142858702
6/5/18,6/18/18,14,9990.6,9989.4,-0.00012011290613183668,-0.09230769230774828
6/19/18,7/24/18,36,9989.2,9984.0,-0.0005205622071838313,-0.14857142857144937
7/29/18,8/18/18,21,9984.0,9982.8,-0.00012019230769238057,-0.06000000000003638
8/26/18,9/4/18,10,9982.6,9982.2,-4.006972131505181e-05,-0.04444444444440402
9/5/18,9/14/18,10,9982.2,9982.0,-2.003566348106906e-05,-0.022222222222303065
9/17/18,9/26/18,10,9982.0,9981.8,-2.0036064916923222e-05,-0.022222222222303065
10/5/18,10/14/18,10,9982.2,9982.0,-2.003566348106906e-05,-0.022222222222303065
11/7/18,11/16/18,10,9982.2,9982.0,-2.003566348106906e-05,-0.022222222222303065
11/28/18,12/7/18,10,9982.0,9981.8,-2.0036064916923222e-05,-0.022222222222303065
12/12/18,12/21/18,10,9981.8,9981.6,-2.0036466368681862e-05,-0.022222222222100955
1/1/19,1/5/19,5,9981.4,9981.2,-2.00372693208276e-05,-0.04999999999972715
1/29/19,2/4/19,7,9981.4,9981.2,-2.00372693208276e-05,-0.03333333333315144
3/15/19,3/24/19,10,9981.6,9981.2,-4.007373567360305e-05,-0.04444444444440402
3/25/19,4/3/19,10,9981.2,9981.0,-2.0037670821216644e-05,-0.022222222222303065
5/1/19,5/7/19,7,9981.6,9980.6,-0.00010018433918409874,-0.16666666666666666
5/10/19,5/14/19,5,9980.8,9980.6,-2.0038473869720726e-05,-0.04999999999972715
5/16/19,5/26/19,11,9981.2,9980.2,-0.00010018835410571874,-0.1
7/5/19,12/17/19,166,10024.8,9980.6,-0.00440906551751645,-0.2678787878787813
12/18/19,12/27/19,10,9980.6,9980.4,-2.0038875418384423e-05,-0.022222222222303065
1/14/20,1/23/20,10,9980.4,9980.2,-2.0039276982777103e-05,-0.022222222222100955
1/30/20,2/8/20,10,9980.2,9980.0,-2.0039678563628744e-05,-0.022222222222303065
2/15/20,2/24/20,10,9980.0,9979.8,-2.0040080160393546e-05,-0.022222222222303065
5/3/20,5/7/20,5,9980.4,9980.0,-4.007855396573647e-05,-0.09999999999990905
5/9/20,5/15/20,7,9980.2,9980.0,-2.0039678563628744e-05,-0.0333333333334546
5/20/20,5/27/20,8,9980.6,9979.6,-0.00010019437709155762,-0.14285714285714285
6/8/20,6/13/20,6,9984.8,9983.8,-0.00010015223139171541,-0.2
6/16/20,7/26/20,39,9984.0,9975.4,-0.0008613782051282415,-0.2263157894736938
7/30/20,9/8/20,41,9975.6,9972.2,-0.000340831629175151,-0.0849999999999909
9/26/20,10/5/20,10,9972.6,9972.4,-2.0054950564619816e-05,-0.022222222222303065
10/6/20,10/20/20,15,9972.4,9971.6,-8.022141109454819e-05,-0.05714285714280517
10/21/20,10/25/20,5,9971.6,9971.2,-4.0113923542825244e-05,-0.09999999999990905
10/27/20,11/6/20,10,9971.4,9971.0,-4.0114728122393666e-05,-0.04444444444440402
2/8/21,2/13/21,5,9972.2,9972.0,-2.0055754998969895e-05,-0.0500000000001819
2/23/21,3/4/21,10,9972.2,9972.0,-2.0055754998969895e-05,-0.022222222222303065
4/15/21,4/23/21,9,9972.8,9971.8,-0.00010027274185785336,-0.125
