Start Date, End Date, Duration, Start Elevation, End Elevation, Drawdown
9/25/17,9/29/17,4,9993.0,9992.0,-1.0
12/18/17,12/19/17,2,9989.0,9988.0,-1.0
12/24/17,12/25/17,2,9989.0,9988.0,-1.0
12/26/17,12/27/17,2,9989.0,9988.0,-1.0
6/1/18,6/3/18,3,9991.0,9990.0,-1.0
3/10/19,3/11/19,2,9982.0,9981.0,-1.0
9/20/20,9/22/20,3,9973.0,9972.0,-1.0
