Lake Name, Max Daily Drawdown
Apache_Lake_elevation_daily,-1.8300000000001546
Canyon_Lake_elevation_daily,-1.8300000000001546
Lake_Havasu_Elevation_daily,-1.3280000000000314
Lake_Mead_Elevation_daily,-0.5499999999999545
Lake_Mohave_Elevation_daily,-1.3400000000000318
Lake_Powell_Elevation_daily,-0.8600000000001273
Saguaro_Lake_elevation_daily,-3.0299999999999727
Carter_Lake_elevation_daily,-1.860000000000582
Calamus_Reservoir_elevation_daily,-5.369999999999891
Currant_Creek_Reservoir_elevation_daily,-1.6499999999996362
Davis_Creek_Reservoir_elevation_daily,-7.130000000000109
Flatiron_Reservoir_elevation_daily,-8.340000000000146
Folsom_Lake_elevation_daily,-7.990000000000009
Keith_Sebelius_Reservoir_elevation_daily,-0.4099999999998545
Kirwin_Reservoir_elevation_daily,-1.9200000000000728
Lake_Estes_elevation_daily,-16.4399999999996
Lake_Tschida_elevation_daily,-1.650000000000091
Lost_Creek_elevation_daily,-69.10000000000036
Moon_Lake_elevation_daily,-7.579999999999927
Newton_Reservoir_elevation_daily,-10.399999999999636
Pactola_Reservoir_elevation_daily,-0.5900000000001455
Paonia_Reservoir_elevation_daily,-65.09999999999945
Pinewood_Reservoir_elevation_daily,-17.980000000000473
Platoro_Reservoir_elevation_daily,-0.7000000000007276
Ruedi_Reservoir_elevation_daily,-3.4600000000000364
Silver_Jack_Reservoir_elevation_daily_without_missing,-10.199999999998909
Taylor_Park_Reservoir_elevation_daily,-0.6000000000003638
Trinity_Lake_elevation_daily,-1.4699999999998
Twin_Lakes_Reservoir_elevation_daily,-10.260000000000218
Webster_Reservoir_elevation_daily,-1.0600000000001728
Whiskeytown_Lake_elevation_daily,-1.9299999999998363
Angostura_Elevation_daily,-1.9200000000000728
Bartlett_Elevation_daily,-7.119999999999891
BlueMesa_Elevation_daily,-2.2700000000004366
DeerCreek_Elevation_daily,-0.7999999999992724
FlamingGorge_Elevation_daily,-0.3400000000001455
GreenMountain_Elevation_daily,-4.059999999999491
Jordanelle_Elevation_daily,-0.7899999999999636
LakeElwell_Elevation_daily,-0.32999999999992724
NavajoReservoir_Elevation_daily,-0.6399999999994179
PuebloReservoir_Elevation_daily,-6.5
TheodoreRoosevelt_Elevation_daily,-1.6100000000001273
WillardBay_Elevation_daily,-0.25
